,OrgID,H9ICUType_CLABSI,H9CLABSINum,H9CLDays
142,12703,Medical/Surgical ICU (major teaching),3,1964
143,12703,Medical Ward (major teaching),0,868
144,12703,Surgical Ward,0,411
145,12705,Pediatric ICU,5,926
146,12708,Medical/Surgical ICU (not major teaching),0,40
147,12708,Medical/Surgical Ward (not major teaching),0,277
148,12709,Medical/Surgical ICU (not major teaching),0,396
149,12714,Medical/Surgical ICU (not major teaching),0,348
150,12714,Medical/Surgical Ward (not major teaching),1,471
151,12751,Medical/Surgical Ward (not major teaching),0,20
152,12752,Medical/Surgical ICU (major teaching),0,527
153,12752,Medical Ward (major teaching),0,339
154,12752,Medical/Surgical Ward (major teaching),0,890
155,12752,Pediatric Ward,0,0
156,12752,Surgical Ward,0,336
157,12778,Medical/Surgical ICU (major teaching),0,218
158,12778,Medical Ward (major teaching),0,638
159,12793,Medical/Surgical ICU (major teaching),2,2052
160,12793,Medical/Surgical Ward (major teaching),0,3611
161,12793,Pediatric Ward,0,1
162,12808,Medical/Surgical ICU (not major teaching),0,3371
163,12808,Neonatal ICU,0,527
164,12808,Medical/Surgical Ward (not major teaching),3,8420
165,12808,Pediatric Ward,0,53
166,12808,Surgical Ward,0,293
167,12833,Medical ICU (not major teaching),0,353
168,12837,Medical/Surgical ICU (not major teaching),0,626
169,12837,Medical/Surgical Ward (not major teaching),0,1001
170,12837,Surgical Ward,0,0
171,12866,Medical/Surgical ICU (not major teaching),0,417
172,12866,Medical/Surgical Ward (not major teaching),0,607
173,12875,Medical ICU (major teaching),0,508
174,12875,Medical Ward (major teaching),0,405
175,12955,Medical/Surgical ICU (major teaching),1,684
176,12955,Medical Ward (major teaching),0,1989
177,12955,Medical/Surgical Ward (major teaching),1,211
178,12955,Surgical Ward,0,759
179,13000,Cardiac ICU,1,1503
180,13000,Cardiothoracic ICU,5,3454
181,13000,Medical ICU (major teaching),3,3794
182,13000,Medical/Surgical ICU (major teaching),1,2368
183,13000,Neurosurgical ICU,0,1663
184,13000,Surgical ICU,1,1601
185,13000,Trauma ICU,1,1892
186,13000,Neonatal ICU,1,958
187,13000,Medical Ward (major teaching),11,12892
188,13000,Surgical Ward,1,2044
189,13022,Medical/Surgical ICU (not major teaching),0,325
190,13022,Medical/Surgical Ward (not major teaching),0,349
191,13022,Pediatric Ward,0,0
192,13091,Medical/Surgical ICU (not major teaching),2,1675
193,13091,Medical/Surgical Ward (not major teaching),0,627
194,13098,Medical/Surgical Ward (not major teaching),0,452
195,13098,Pediatric Ward,0,12
196,13116,Medical ICU (major teaching),3,2184
197,13116,Medical Ward (major teaching),1,4156
198,13116,Medical/Surgical Ward (major teaching),0,358
199,13174,Medical ICU (not major teaching),0,442
200,13174,Medical Ward (not major teaching),0,1009
201,13189,Medical/Surgical ICU (not major teaching),0,7
202,13189,Medical/Surgical Ward (not major teaching),0,20
203,13201,Medical/Surgical ICU (not major teaching),0,557
204,13201,Medical/Surgical Ward (not major teaching),1,667
205,13201,Pediatric Ward,0,3
206,13206,Medical/Surgical Ward (not major teaching),0,39
207,13206,Pediatric Ward,0,0
208,13213,Medical/Surgical ICU (not major teaching),0,189
209,13213,Medical/Surgical Ward (not major teaching),1,890
210,13215,Medical/Surgical ICU (not major teaching),1,527
211,13215,Medical/Surgical Ward (not major teaching),0,1150
212,13230,Medical/Surgical ICU (not major teaching),1,626
213,13230,Medical Ward (not major teaching),0,421
214,13230,Medical/Surgical Ward (not major teaching),0,215
215,13230,Surgical Ward,1,389
216,13290,Medical/Surgical ICU (not major teaching),0,110
217,13290,Medical/Surgical Ward (not major teaching),0,68
218,13298,Medical/Surgical ICU (major teaching),2,804
219,13298,Medical/Surgical Ward (major teaching),3,1242
220,13301,Medical/Surgical ICU (not major teaching),1,528
221,13301,Medical/Surgical Ward (not major teaching),0,617
222,13309,Medical/Surgical ICU (not major teaching),0,188
223,13309,Medical/Surgical Ward (not major teaching),0,229
224,13348,Medical/Surgical ICU (major teaching),5,3828
225,13348,Medical/Surgical Ward (major teaching),6,3675
226,13381,Medical/Surgical Ward (not major teaching),0,311
227,14175,Medical ICU (not major teaching),0,151
228,14175,Medical Ward (not major teaching),0,421
229,14360,Medical Ward (major teaching),0,31
230,53639,Medical ICU (major teaching),3,1369
231,53639,Surgical ICU,0,819
232,53639,Neonatal ICU,2,1341
233,53639,Medical Ward (major teaching),3,2575
234,53639,Surgical Ward,0,2241
235,57659,Medical Ward (major teaching),0,59
