,HospRowID,H9Name,H9Affiliation,H9HospType,H9ProfitStatus,H9Beds,H9ICUBeds,H9NumAdm,H9NumPatDays
12875,46,"Marlborough Hospital - UMass Memorial Health Care - Marlborough, MA",Yes,Major teaching,For-profit,79,10,3210,16319
12955,47,"Faulkner Hospital - Brigham and Womens - Boston, MA",Yes,Major teaching,Not-for-profit,169,6,10363,47473
13000,48,"Beth Israel Deaconess Medical Center - Boston, MA",Yes,Major teaching,Not-for-profit,783,124,45469,255610
13022,49,"Harrington Memorial Hospital - Southbridge, MA",No,Nonteaching,Not-for-profit,125,6,4603,19714
13091,50,"Mercy Medical Center - Springfield, MA",Yes,Undergraduate teaching,Not-for-profit,251,16,11748,47588
13098,51,"Massachusetts Eye and Ear Infirmary - Boston, MA",Yes,Graduate teaching,Not-for-profit,41,0,1129,4383
13116,52,"Salem Hospital - North Shore Medical Center - Salem, MA",Yes,Major teaching,Not-for-profit,301,32,16762,20971
13174,53,"Sturdy Memorial Hospital - Attleboro, MA",Yes,Undergraduate teaching,Not-for-profit,126,14,10550,35101
13189,54,"Fairview Hospital - Berkshire Health Systems - Great Barrington, MA",No,Nonteaching,Not-for-profit,25,4,815,3145
13201,55,"Framingham Union Hospital - MetroWest Medical Center - Framingham, MA",Yes,Graduate teaching,For-profit,149,12,7152,25101
13206,56,"Nantucket Cottage Hospital - Nantucket, MA",No,Nonteaching,Not-for-profit,14,0,781,2209
13213,57,"Cambridge Hospital - Cambridge Health Alliance - Cambridge, MA",Yes,Graduate teaching,Not-for-profit,145,8,7009,33552
13215,58,"Everett Hospital - Cambridge Health Alliance - Everett, MA",Yes,Graduate teaching,Not-for-profit,96,8,5135,28133
13230,59,"Beth Israel Deaconess Hospital - Milton - Milton, MA",No,Nonteaching,Not-for-profit,100,8,8001,25785
13262,60,"Athol Memorial Hospital - Athol, MA",No,Nonteaching,Not-for-profit,25,0,942,4229
13290,61,"Nashoba Valley Medical Center - Steward Health Care - Ayer, MA",No,Nonteaching,For-profit,77,6,2755,13084
13298,62,"Melrose-Wakefield Hospital - MelroseWakefield Healthcare - Melrose, MA",Yes,Major teaching,Not-for-profit,142,8,12136,40304
13301,63,"Holy Family Hospital at Merrimack Valley - Steward Health Care - Haverhill, MA",No,Nonteaching,For-profit,124,10,2847,17203
13309,64,"Leonard Morse Hospital - MetroWest Medical Center - Natick, MA",No,Nonteaching,For-profit,29,4,3845,32332
13348,65,"Saint Vincent Hospital - Worcester, MA",Yes,Major teaching,For-profit,282,37,17425,80842
13381,66,"Baystate Wing Hospital - Palmer, MA",No,Nonteaching,Not-for-profit,74,6,3392,16172
14175,67,"Addison Gilbert Hospital - Lahey Health - Gloucester, MA",No,Nonteaching,Not-for-profit,79,8,3075,12331
14360,68,"Union Hospital - North Shore Medical Center - Lynn, MA",Yes,Major teaching,Not-for-profit,74,0,2358,18674
30172,69,"Dana-Farber Cancer Institute - Boston, MA",Yes,Major teaching,Not-for-profit,30,0,1332,10548
53639,70,"UMass Memorial Medical Center - Memorial Campus - Worcester, MA",Yes,Major teaching,Not-for-profit,302,88,19500,87461
57659,71,"Lahey Medical Center - Peabody - Peabody, MA",Yes,Major teaching,Not-for-profit,10,0,1133,2652
